date,time,script,source_count,speakers,angles,sounds,duration_s,notes
2026-07-16,12:10,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0046.wav,3.3,
2026-07-16,12:12,play_speech.py,1,4,135,arctic_a0016.wav,3.9,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0016.wav,3.9,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0039.wav,4.0,
2026-07-16,12:13,play_tone_1k_noise.py,4,"9,10,11,12",",,,",freesound_community-19-urban-background-sound-25831.mp3; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; freesound_community-urban-seagulls-30068.mp3; BGD_150203_010_STR.CH5.wav,33.0,background noise
2026-07-16,12:13,play_tone_1k_noise.py,1,7,270,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,8,315,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,1,0,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,2,45,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,3,90,1000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH5.wav; koiroylers-urban-traffic-355941.mp3; BGD_150203_010_STR.CH1.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3,33.0,background noise
2026-07-16,12:14,play_tone_5k_noise.py,1,7,270,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,8,315,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,1,0,5000Hz_tone,3.0,
